"","PID","location","age_pid","loc","age.PIDr","age_adint","sex.BIO","age.BIO","weight","height_stand","height","part_i","part_ii","part_iii","part_i_pr","part_i_te","part_ii_pr","part_ii_te","part_iii_pr","part_iii_te","knox_PR_I","demo_speed_knox","back_noise_knox","beads_PR_I","uncover_time_error_beads","skip_cor_beads","back_noise_beads","cmb_schl.Psurv","cmb_grade.Psurv","cmb_howoft.Psurv","10a_schl_go_often_other","yrs_school","age_yr","sex","AGE","HEIGHT","height2","HTKS_all","HTKS_i_ii","knox_total","beads_total","age_yr2","edu_exposure","bmi","knox_total_z","beads_total_z","HTKS_all_c","HTKS_i_ii_c","age_yr_c","yrs_school_c","bmi_c"
"1","W78T","Malaysia",8.9,,,,"m",8,25,129,,19,20,19,9,"10",5,"10",7,"10","1","0","0","1","0","0","0","y","grade 5","every day that it is open",,4,8.9,"m",10,129,129,58,39,10,6,8.9,7,15.0231356288685,1.1346252262918,1.1739203102638,8.13084112149533,3.22429906542056,-1.77196261682243,0.738317757009346,-1.847140306286
"2","JNRD","Malaysia",9.1,,,,"f",9,27.9,132,,18,14,16,6,"10",6,"10",6,"10","1","0","0","1","0","0","0","n",,"other","does not go to school",0,9.1,"f",9,132,132,48,32,8,3,9.1,0,16.0123966942149,0.42257303149284,-0.0948622472940447,-1.86915887850467,-3.77570093457944,-1.57196261682243,-6.26168224299065,-0.857879240939578
"3","LTWE","Malaysia",9.3,,,,"f",9,32.7,137,,20,19,19,8,"10",5,"10",7,"10","1","2","0","1","0","0","0","y","grade 4","every day that it is open",,3,9.3,"f",9,137,137,58,39,8,4,9.3,6,17.4223453567052,0.42257303149284,0.328065271891905,8.13084112149533,3.22429906542056,-1.37196261682243,-0.261682242990654,0.552069421550755
"4","E3HM","Malaysia",9.5,,,,"m",9,22.7,125,,19,19,14,8,"10",6,"10",7,"10","1","0","0","1","0","0","0","y","grade 4","every day that it is open",,4,9.5,"m",9,125,125,52,38,6,0,9.5,6,14.528,-0.289479163306119,-1.36364480485189,2.13084112149533,2.22429906542056,-1.17196261682243,-0.261682242990654,-2.34227593515445
"5","N94M","Malaysia",9.5,,,,"m",9,20,120,,20,15,4,6,"10",5,"10",6,"10","1","0","0","1","0","0","0","y","grade 4","every day that it is open",,3,9.5,"m",9,120,120,39,35,8,6,9.5,6,13.8888888888889,0.42257303149284,1.1739203102638,-10.8691588785047,-0.77570093457944,-1.17196261682243,-0.261682242990654,-2.98138704626557
"6","VFTP","Malaysia",9.7,,,,"f",9,24.5,135,,19,19,19,6,"10",5,"10",6,"10","1","2","1","1","0","0","1","y","grade 4","every day that it is open",,4,9.7,"f",9,135,135,57,38,12,4,9.7,6,13.443072702332,1.84667742109076,0.328065271891905,7.13084112149533,2.22429906542056,-0.971962616822431,-0.261682242990654,-3.42720323282249
"7","EBX4","Malaysia",10.1,,,,"f",10,36.4,141,,20,20,20,7,"10",5,"10",8,"10","1","0","1","1","0","0","1","y","grade 4","every day that it is open",,5,10.1,"f",10,141,141,60,40,6,4,10.1,6,18.308938182184,-0.289479163306119,0.328065271891905,10.1308411214953,4.22429906542056,-0.571962616822431,-0.261682242990654,1.43866224702954
"8","QXXQ","Malaysia",10.2,,,,"m",10,33,130,,18,15,20,6,"10",5,"10",6,"10","1","2","0","1","0","0","0","y","grade 5","every day that it is open",,4,10.2,"m",10,130,130,53,33,10,4,10.2,7,19.5266272189349,1.1346252262918,0.328065271891905,3.13084112149533,-2.77570093457944,-0.471962616822431,0.738317757009346,2.65635128378046
"9","RTBB","Malaysia",10.3,,,,"m",10,30,126,,19,19,2,7,"10",5,"10",6,"10","1","0","0","1","0","1","0","y","grade 5","every day that it is open",,3,10.3,"m",10,126,126,40,38,7,2,10.3,7,18.896447467876,0.0665469340933605,-0.517789766479994,-9.86915887850467,2.22429906542056,-0.371962616822429,0.738317757009346,2.02617153272158
"10","JTX7","Malaysia",10.7,,,,"f",10,43.1,146,,19,19,16,8,"10",5,"10",6,"10","1","2","0","1","0","0","0","y","grade 4","every day that it is open",,4,10.7,"f",10,146,146,54,38,10,1,10.7,6,20.219553387127,1.1346252262918,-0.940717285665943,4.13084112149533,2.22429906542056,0.0280373831775691,-0.261682242990654,3.34927745197259
"11","FWJ9","Malaysia",10.8,,,,"f",10,33,143,,20,20,17,6,"10",5,"10",6,"10","1","0","0","2","0","0","0","y","grade 5","every day that it is open",,5,10.8,"f",10,143,143,57,40,12,7,10.8,7,16.1377084454008,1.84667742109076,1.59684782944975,7.13084112149533,4.22429906542056,0.128037383177571,0.738317757009346,-0.732567489753698
"12","VKQ8","Malaysia",10.9,,,,"f",10,22.7,128,,19,19,12,6,"10",5,"10",6,"10","1","0","1","1","0","0","0","y","grade 5","every day that it is open",,5,10.9,"f",10,128,128,50,38,5,5,10.9,7,13.85498046875,-0.645505260705599,0.750992791077854,0.13084112149533,2.22429906542056,0.22803738317757,0.738317757009346,-3.01529546640445
"13","E9RM","Malaysia",11,,,,"f",10,54.9,147,,20,20,20,6,"10",5,"10",6,"10","1","0","0","1","0","0","0","y","grade 5","every day that it is open",,5,11,"f",10,147,147,60,40,9,7,11,7,25.4060807996668,0.77859912889232,1.59684782944975,10.1308411214953,4.22429906542056,0.32803738317757,0.738317757009346,8.53580486451235
